,DATE,Totaal aantal mensen volledig gevaccineerd (opgeteld),Totaal aantal mensen met minstens één dosis (opgeteld),Totaal aantal mensen met een boosterprik (opgeteld),Totaal aantal mensen met een 2de boosterprik (opgeteld),Totaal aantal mensen met een 3de boosterprik (opgeteld)
0,2020-12-28,0.0,340.0,0.0,0.0,0.0
1,2020-12-29,11.0,379.0,0.0,0.0,0.0
2,2020-12-30,21.0,910.0,0.0,0.0,0.0
3,2020-12-31,21.0,958.0,0.0,0.0,0.0
4,2021-01-01,21.0,976.0,0.0,0.0,0.0
5,2021-01-02,34.0,1002.0,0.0,0.0,0.0
6,2021-01-03,34.0,1036.0,0.0,0.0,0.0
7,2021-01-04,50.0,1108.0,0.0,0.0,0.0
8,2021-01-05,79.0,2898.0,0.0,0.0,0.0
9,2021-01-06,108.0,6928.0,0.0,0.0,0.0
10,2021-01-07,129.0,15439.0,0.0,0.0,0.0
11,2021-01-08,182.0,24878.0,0.0,0.0,0.0
12,2021-01-09,201.0,28174.0,0.0,0.0,0.0
13,2021-01-10,203.0,28670.0,0.0,0.0,0.0
14,2021-01-11,223.0,34410.0,0.0,0.0,0.0
15,2021-01-12,255.0,50508.0,0.0,0.0,0.0
16,2021-01-13,393.0,72356.0,0.0,0.0,0.0
17,2021-01-14,423.0,95925.0,0.0,0.0,0.0
18,2021-01-15,452.0,119638.0,0.0,0.0,0.0
19,2021-01-16,466.0,124885.0,0.0,0.0,0.0
20,2021-01-17,495.0,128158.0,0.0,0.0,0.0
21,2021-01-18,658.0,139315.0,0.0,0.0,0.0
22,2021-01-19,903.0,158615.0,0.0,0.0,0.0
23,2021-01-20,1405.0,179914.0,0.0,0.0,0.0
24,2021-01-21,1470.0,210311.0,0.0,0.0,0.0
25,2021-01-22,1557.0,240516.0,0.0,0.0,0.0
26,2021-01-23,1581.0,249045.0,0.0,0.0,0.0
27,2021-01-24,1615.0,250965.0,0.0,0.0,0.0
28,2021-01-25,1668.0,262423.0,0.0,0.0,0.0
29,2021-01-26,3474.0,273646.0,0.0,0.0,0.0
30,2021-01-27,6981.0,287062.0,0.0,0.0,0.0
31,2021-01-28,14963.0,303188.0,0.0,0.0,0.0
32,2021-01-29,24222.0,315798.0,0.0,0.0,0.0
33,2021-01-30,27164.0,317462.0,0.0,0.0,0.0
34,2021-01-31,27520.0,318114.0,0.0,0.0,0.0
35,2021-02-01,31533.0,322156.0,0.0,0.0,0.0
36,2021-02-02,46074.0,332492.0,0.0,0.0,0.0
37,2021-02-03,66962.0,342816.0,0.0,0.0,0.0
38,2021-02-04,91537.0,352926.0,0.0,0.0,0.0
39,2021-02-05,114703.0,361120.0,0.0,0.0,0.0
40,2021-02-06,120073.0,362384.0,0.0,0.0,0.0
41,2021-02-07,123182.0,362727.0,0.0,0.0,0.0
42,2021-02-08,131151.0,365147.0,0.0,0.0,0.0
43,2021-02-09,151126.0,373429.0,0.0,0.0,0.0
44,2021-02-10,170465.0,380078.0,0.0,0.0,0.0
45,2021-02-11,199025.0,388492.0,0.0,0.0,0.0
46,2021-02-12,227468.0,395371.0,0.0,0.0,0.0
47,2021-02-13,235684.0,396024.0,0.0,0.0,0.0
48,2021-02-14,237584.0,396176.0,0.0,0.0,0.0
49,2021-02-15,249436.0,398383.0,0.0,0.0,0.0
50,2021-02-16,260150.0,402886.0,0.0,0.0,0.0
51,2021-02-17,273135.0,410243.0,0.0,0.0,0.0
52,2021-02-18,290621.0,420988.0,0.0,0.0,0.0
53,2021-02-19,304059.0,439157.0,0.0,0.0,0.0
54,2021-02-20,305697.0,443663.0,0.0,0.0,0.0
55,2021-02-21,306004.0,445633.0,0.0,0.0,0.0
56,2021-02-22,309027.0,455575.0,0.0,0.0,0.0
57,2021-02-23,317388.0,467681.0,0.0,0.0,0.0
58,2021-02-24,325902.0,482732.0,0.0,0.0,0.0
59,2021-02-25,335296.0,505675.0,0.0,0.0,0.0
60,2021-02-26,342395.0,531103.0,0.0,0.0,0.0
61,2021-02-27,343275.0,534809.0,0.0,0.0,0.0
62,2021-02-28,343556.0,535444.0,0.0,0.0,0.0
63,2021-03-01,346393.0,546498.0,0.0,0.0,0.0
64,2021-03-02,353394.0,563580.0,0.0,0.0,0.0
65,2021-03-03,359692.0,587955.0,0.0,0.0,0.0
66,2021-03-04,368729.0,629392.0,0.0,0.0,0.0
67,2021-03-05,375654.0,668030.0,0.0,0.0,0.0
68,2021-03-06,376356.0,675842.0,0.0,0.0,0.0
69,2021-03-07,376567.0,677234.0,0.0,0.0,0.0
70,2021-03-08,378656.0,692841.0,0.0,0.0,0.0
71,2021-03-09,386243.0,714632.0,0.0,0.0,0.0
72,2021-03-10,395598.0,741888.0,0.0,0.0,0.0
73,2021-03-11,405888.0,786400.0,0.0,0.0,0.0
74,2021-03-12,419831.0,818118.0,0.0,0.0,0.0
75,2021-03-13,422119.0,825971.0,0.0,0.0,0.0
76,2021-03-14,423451.0,826253.0,0.0,0.0,0.0
77,2021-03-15,428250.0,852597.0,0.0,0.0,0.0
78,2021-03-16,432652.0,895415.0,0.0,0.0,0.0
79,2021-03-17,441609.0,934543.0,0.0,0.0,0.0
80,2021-03-18,458521.0,993480.0,0.0,0.0,0.0
81,2021-03-19,477664.0,1042757.0,0.0,0.0,0.0
82,2021-03-20,479104.0,1063909.0,0.0,0.0,0.0
83,2021-03-21,479661.0,1064460.0,0.0,0.0,0.0
84,2021-03-22,485177.0,1092200.0,0.0,0.0,0.0
85,2021-03-23,491114.0,1134763.0,0.0,0.0,0.0
86,2021-03-24,501931.0,1186271.0,0.0,0.0,0.0
87,2021-03-25,522298.0,1245800.0,0.0,0.0,0.0
88,2021-03-26,542278.0,1296590.0,0.0,0.0,0.0
89,2021-03-27,546159.0,1315528.0,0.0,0.0,0.0
90,2021-03-28,547159.0,1317149.0,0.0,0.0,0.0
91,2021-03-29,552561.0,1335887.0,0.0,0.0,0.0
92,2021-03-30,558446.0,1362671.0,0.0,0.0,0.0
93,2021-03-31,569992.0,1436623.0,0.0,0.0,0.0
94,2021-04-01,595149.0,1514009.0,0.0,0.0,0.0
95,2021-04-02,614445.0,1578492.0,0.0,0.0,0.0
96,2021-04-03,615954.0,1598227.0,0.0,0.0,0.0
97,2021-04-04,616110.0,1598426.0,0.0,0.0,0.0
98,2021-04-05,618721.0,1610858.0,0.0,0.0,0.0
99,2021-04-06,628126.0,1648960.0,0.0,0.0,0.0
100,2021-04-07,638208.0,1687457.0,0.0,0.0,0.0
101,2021-04-08,655329.0,1798344.0,0.0,0.0,0.0
102,2021-04-09,671537.0,1918282.0,0.0,0.0,0.0
103,2021-04-10,675780.0,1983275.0,0.0,0.0,0.0
104,2021-04-11,676217.0,1987024.0,0.0,0.0,0.0
105,2021-04-12,685467.0,2027109.0,0.0,0.0,0.0
106,2021-04-13,694073.0,2091627.0,0.0,0.0,0.0
107,2021-04-14,718933.0,2168125.0,0.0,0.0,0.0
108,2021-04-15,745812.0,2253629.0,0.0,0.0,0.0
109,2021-04-16,763361.0,2330673.0,0.0,0.0,0.0
110,2021-04-17,769271.0,2383214.0,0.0,0.0,0.0
111,2021-04-18,769439.0,2389311.0,0.0,0.0,0.0
112,2021-04-19,774014.0,2446363.0,0.0,0.0,0.0
113,2021-04-20,777434.0,2493762.0,0.0,0.0,0.0
114,2021-04-21,782238.0,2581606.0,0.0,0.0,0.0
115,2021-04-22,788516.0,2672480.0,0.0,0.0,0.0
116,2021-04-23,795948.0,2737731.0,0.0,0.0,0.0
117,2021-04-24,797897.0,2782526.0,0.0,0.0,0.0
118,2021-04-25,798010.0,2788962.0,0.0,0.0,0.0
119,2021-04-26,805241.0,2845647.0,0.0,0.0,0.0
120,2021-04-27,820158.0,2884423.0,0.0,0.0,0.0
121,2021-04-28,835728.0,2964301.0,0.0,0.0,0.0
122,2021-04-29,855938.0,3052619.0,0.0,0.0,0.0
123,2021-04-30,879019.0,3113539.0,0.0,0.0,0.0
124,2021-05-01,887239.0,3153594.0,0.0,0.0,0.0
125,2021-05-02,887495.0,3157276.0,0.0,0.0,0.0
126,2021-05-03,902822.0,3224075.0,0.0,0.0,0.0
127,2021-05-04,922217.0,3292033.0,0.0,0.0,0.0
128,2021-05-05,996934.0,3376881.0,0.0,0.0,0.0
129,2021-05-06,1075643.0,3465925.0,0.0,0.0,0.0
130,2021-05-07,1135434.0,3567281.0,0.0,0.0,0.0
131,2021-05-08,1147063.0,3648387.0,0.0,0.0,0.0
132,2021-05-09,1147312.0,3656457.0,0.0,0.0,0.0
133,2021-05-10,1153627.0,3735957.0,0.0,0.0,0.0
134,2021-05-11,1165182.0,3795256.0,0.0,0.0,0.0
135,2021-05-12,1195038.0,3860744.0,0.0,0.0,0.0
136,2021-05-13,1276185.0,3899642.0,0.0,0.0,0.0
137,2021-05-14,1380955.0,3942323.0,0.0,0.0,0.0
138,2021-05-15,1436691.0,3975505.0,0.0,0.0,0.0
139,2021-05-16,1440646.0,3977968.0,0.0,0.0,0.0
140,2021-05-17,1466938.0,4064841.0,0.0,0.0,0.0
141,2021-05-18,1501132.0,4167942.0,0.0,0.0,0.0
142,2021-05-19,1569041.0,4246675.0,0.0,0.0,0.0
143,2021-05-20,1652570.0,4316475.0,0.0,0.0,0.0
144,2021-05-21,1715148.0,4387059.0,0.0,0.0,0.0
145,2021-05-22,1760715.0,4431742.0,0.0,0.0,0.0
146,2021-05-23,1763640.0,4438812.0,0.0,0.0,0.0
147,2021-05-24,1800462.0,4465668.0,0.0,0.0,0.0
148,2021-05-25,1848113.0,4525855.0,0.0,0.0,0.0
149,2021-05-26,1940470.0,4562146.0,0.0,0.0,0.0
150,2021-05-27,2044039.0,4603880.0,0.0,0.0,0.0
151,2021-05-28,2121818.0,4643278.0,0.0,0.0,0.0
152,2021-05-29,2172512.0,4686722.0,0.0,0.0,0.0
153,2021-05-30,2179881.0,4691346.0,0.0,0.0,0.0
154,2021-05-31,2238052.0,4757643.0,0.0,0.0,0.0
155,2021-06-01,2286470.0,4822329.0,0.0,0.0,0.0
156,2021-06-02,2377425.0,4903765.0,0.0,0.0,0.0
157,2021-06-03,2475385.0,4997171.0,0.0,0.0,0.0
158,2021-06-04,2549834.0,5079555.0,0.0,0.0,0.0
159,2021-06-05,2601917.0,5169167.0,0.0,0.0,0.0
160,2021-06-06,2607993.0,5195269.0,0.0,0.0,0.0
161,2021-06-07,2686030.0,5295308.0,0.0,0.0,0.0
162,2021-06-08,2767564.0,5379797.0,0.0,0.0,0.0
163,2021-06-09,2877951.0,5473556.0,0.0,0.0,0.0
164,2021-06-10,2996758.0,5555476.0,0.0,0.0,0.0
165,2021-06-11,3107588.0,5644918.0,0.0,0.0,0.0
166,2021-06-12,3179429.0,5723835.0,0.0,0.0,0.0
167,2021-06-13,3188237.0,5739810.0,0.0,0.0,0.0
168,2021-06-14,3277636.0,5818669.0,0.0,0.0,0.0
169,2021-06-15,3361605.0,5913132.0,0.0,0.0,0.0
170,2021-06-16,3441095.0,6034779.0,0.0,0.0,0.0
171,2021-06-17,3497972.0,6172853.0,0.0,0.0,0.0
172,2021-06-18,3558414.0,6311823.0,0.0,0.0,0.0
173,2021-06-19,3590704.0,6408599.0,0.0,0.0,0.0
174,2021-06-20,3592725.0,6439678.0,0.0,0.0,0.0
175,2021-06-21,3631813.0,6523039.0,0.0,0.0,0.0
176,2021-06-22,3688313.0,6585055.0,0.0,0.0,0.0
177,2021-06-23,3753163.0,6708638.0,0.0,0.0,0.0
